"","geo_id","Year","ID Race","Race","Income","Household Income by Race Moe","Geography","ID Geography","case_count","hosp_count","death_count","total_hosp_incidental","time_period","Cases_Per_Thousand_Dollar_Income","Income_Level"
"38","53033003800",2019,0,"Total",124286,24442,"Census Tract 38, King County, WA","14000US53033003800",483,5,2,2,"Overall",3.8861979627633,"High"
"39","53033003900",2019,0,"Total",111806,37327,"Census Tract 39, King County, WA","14000US53033003900",688,11,1,4,"Overall",6.15351591148954,"High"
"40","53033004000",2019,0,"Total",85707,15075,"Census Tract 40, King County, WA","14000US53033004000",733,13,5,4,"Overall",8.55239362012438,"High"
"41","53033004100",2019,0,"Total",178935,7806,"Census Tract 41, King County, WA","14000US53033004100",2196,12,3,13,"Overall",12.2726129600134,"High"
"42","53033004200",2019,0,"Total",128966,16071,"Census Tract 42, King County, WA","14000US53033004200",1928,23,3,19,"Overall",14.9496766589644,"High"
"43","53033004301",2019,0,"Total",95764,26358,"Census Tract 43.01, King County, WA","14000US53033004301",874,12,4,7,"Overall",9.12660289879287,"High"
"44","53033004302",2019,0,"Total",34461,6562,"Census Tract 43.02, King County, WA","14000US53033004302",1161,10,2,12,"Overall",33.690258553147,"Medium"
"45","53033004400",2019,0,"Total",64026,17658,"Census Tract 44, King County, WA","14000US53033004400",2056,17,3,13,"Overall",32.1119545184769,"High"
"46","53033004500",2019,0,"Total",113669,14016,"Census Tract 45, King County, WA","14000US53033004500",735,5,0,8,"Overall",6.4661429237523,"High"
"47","53033004600",2019,0,"Total",136528,18712,"Census Tract 46, King County, WA","14000US53033004600",779,8,1,8,"Overall",5.70578928864409,"High"
"48","53033004700",2019,0,"Total",96745,7289,"Census Tract 47, King County, WA","14000US53033004700",2536,77,10,30,"Overall",26.2132409943666,"High"
"49","53033004800",2019,0,"Total",121492,10703,"Census Tract 48, King County, WA","14000US53033004800",1068,12,1,11,"Overall",8.79070226846212,"High"
"50","53033004900",2019,0,"Total",101203,15043,"Census Tract 49, King County, WA","14000US53033004900",1772,26,10,20,"Overall",17.5093623706807,"High"
"51","53033005000",2019,0,"Total",98698,18821,"Census Tract 50, King County, WA","14000US53033005000",1191,11,5,14,"Overall",12.0671138219619,"High"
"52","53033005100",2019,0,"Total",119625,24535,"Census Tract 51, King County, WA","14000US53033005100",841,5,1,8,"Overall",7.03030303030303,"High"
"53","53033005200",2019,0,"Total",47883,9638,"Census Tract 52, King County, WA","14000US53033005200",1725,10,2,8,"Overall",36.0253116972621,"Medium"
"54","53033005301",2019,0,"Total",26413,11444,"Census Tract 53.01, King County, WA","14000US53033005301",2429,18,0,14,"Overall",91.9622912959528,"Medium"
"55","53033005302",2019,0,"Total",17188,15454,"Census Tract 53.02, King County, WA","14000US53033005302",1211,1,1,2,"Overall",70.4561321852455,"Low"
"56","53033005400",2019,0,"Total",110956,21148,"Census Tract 54, King County, WA","14000US53033005400",1605,14,2,15,"Overall",14.4651934100004,"High"
"57","53033005600",2019,0,"Total",167622,25275,"Census Tract 56, King County, WA","14000US53033005600",1308,35,2,16,"Overall",7.80327164691986,"High"
"58","53033005700",2019,0,"Total",118750,16418,"Census Tract 57, King County, WA","14000US53033005700",1251,36,5,14,"Overall",10.5347368421053,"High"
"59","53033005801",2019,0,"Total",98281,9907,"Census Tract 58.01, King County, WA","14000US53033005801",1406,18,2,12,"Overall",14.3059187431955,"High"
"60","53033005802",2019,0,"Total",77424,17674,"Census Tract 58.02, King County, WA","14000US53033005802",1331,18,4,13,"Overall",17.1910518702211,"High"
"61","53033005900",2019,0,"Total",115129,19260,"Census Tract 59, King County, WA","14000US53033005900",1543,11,2,17,"Overall",13.4023573556619,"High"
"62","53033006000",2019,0,"Total",114907,19932,"Census Tract 60, King County, WA","14000US53033006000",1485,46,24,21,"Overall",12.923494652197,"High"
"63","53033006100",2019,0,"Total",115586,11500,"Census Tract 61, King County, WA","14000US53033006100",1324,16,4,12,"Overall",11.4546744415414,"High"
"64","53033006200",2019,0,"Total",208636,26473,"Census Tract 62, King County, WA","14000US53033006200",1212,17,3,5,"Overall",5.80916045169578,"High"
"65","53033006300",2019,0,"Total",129609,21238,"Census Tract 63, King County, WA","14000US53033006300",1136,21,3,12,"Overall",8.76482343047165,"High"
"66","53033006400",2019,0,"Total",166125,18242,"Census Tract 64, King County, WA","14000US53033006400",734,9,1,2,"Overall",4.418359668924,"High"
"67","53033006500",2019,0,"Total",101847,9250,"Census Tract 65, King County, WA","14000US53033006500",1043,7,2,9,"Overall",10.2408514732884,"High"
"68","53033006600",2019,0,"Total",114561,13425,"Census Tract 66, King County, WA","14000US53033006600",1039,5,0,5,"Overall",9.06940407293931,"High"
"69","53033006700",2019,0,"Total",118590,17721,"Census Tract 67, King County, WA","14000US53033006700",2312,40,4,19,"Overall",19.4957416308289,"High"
"70","53033006800",2019,0,"Total",128664,22814,"Census Tract 68, King County, WA","14000US53033006800",651,19,4,6,"Overall",5.05969035627681,"High"
"71","53033006900",2019,0,"Total",130524,25748,"Census Tract 69, King County, WA","14000US53033006900",922,13,1,10,"Overall",7.06383500352426,"High"
"72","53033007000",2019,0,"Total",69375,16455,"Census Tract 70, King County, WA","14000US53033007000",1753,30,8,29,"Overall",25.2684684684685,"High"
"73","53033007100",2019,0,"Total",86810,3661,"Census Tract 71, King County, WA","14000US53033007100",1369,17,0,11,"Overall",15.7700725722843,"High"
"74","53033007200",2019,0,"Total",117908,14763,"Census Tract 72, King County, WA","14000US53033007200",2430,51,2,21,"Overall",20.6092885978899,"High"
"75","53033007300",2019,0,"Total",92656,23173,"Census Tract 73, King County, WA","14000US53033007300",3010,91,11,41,"Overall",32.485753755828,"High"
